O43261,LEU1_HUMAN,43,1
O43272,PROD_HUMAN,225,1
O43272,PROD_HUMAN,1211,1
O43290,SNUT1_HUMAN,20,1
O43291,SPIT2_HUMAN,225,1
O43292,GPAA1_HUMAN,225,1
O43293,DAPK3_HUMAN,43,1
O43299,AP5Z1_HUMAN,890,1
O43306,ADCY6_HUMAN,225,1
O43307,ARHG9_HUMAN,225,1
O43307,ARHG9_HUMAN,887,1
O43312,MTSS1_HUMAN,43,1
O43314,VIP2_HUMAN,225,1
O43314,VIP2_HUMAN,1010,1
O43316,PAX4_HUMAN,219,1
O43316,PAX4_HUMAN,225,1
O43318,M3K7_HUMAN,225,1
O43320,FGF16_HUMAN,225,1
O43323,DHH_HUMAN,225,1
O43364,HXA2_HUMAN,225,1
O43379,WDR62_HUMAN,225,1
O43379,WDR62_HUMAN,905,1
O43379,WDR62_HUMAN,991,1
O43395,PRPF3_HUMAN,225,1
O43395,PRPF3_HUMAN,682,1
O43405,COCH_HUMAN,225,1
O43405,COCH_HUMAN,1010,1
O43424,GRID2_HUMAN,523,1
O43426,SYNJ1_HUMAN,225,1
O43426,SYNJ1_HUMAN,523,1
O43426,SYNJ1_HUMAN,887,1
O43426,SYNJ1_HUMAN,907,1
O43426,SYNJ1_HUMAN,908,1
O43427,FIBP_HUMAN,225,1
O43435,TBX1_HUMAN,225,1
O43462,MBTP2_HUMAN,225,1
O43462,MBTP2_HUMAN,977,1
O43462,MBTP2_HUMAN,1007,1
O43462,MBTP2_HUMAN,1065,1
O43464,HTRA2_HUMAN,225,1
O43464,HTRA2_HUMAN,523,1
O43464,HTRA2_HUMAN,887,1
O43464,HTRA2_HUMAN,907,1
O43464,HTRA2_HUMAN,908,1
O43490,PROM1_HUMAN,182,1
O43490,PROM1_HUMAN,225,1
O43490,PROM1_HUMAN,682,1
O43490,PROM1_HUMAN,751,1
O43497,CAC1G_HUMAN,225,1
O43497,CAC1G_HUMAN,950,1
O43502,RA51C_HUMAN,225,1
O43502,RA51C_HUMAN,923,1
O43505,B4GA1_HUMAN,225,1
O43505,B4GA1_HUMAN,451,1
O43505,B4GA1_HUMAN,912,1
O43505,B4GA1_HUMAN,1215,1
O43511,S26A4_HUMAN,225,1
O43511,S26A4_HUMAN,1010,1
